name,album,artist,popularity,duration
Lampu Merah,Pilot,The Lantis,61,298000
pages,pages,WIMY,69,198857
Alone Again (Naturally),Back to Front (Deluxe Edition),Gilbert O'Sullivan,64,221373
'Cause You Have To,a beautiful blur,LANY,54,250595
"Kala Sang Surya Tenggelam (from the Netflix Series ""Gadis Kretek"")","Kala Sang Surya Tenggelam (from the Netflix Series ""Gadis Kretek"")",Gadis Kretek - Cast,65,201000
Nothing's New,Good God!,Rio Romeo,81,211000
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,98,137773
If Ever You're in My Arms Again,Straight From The Heart,Peabo Bryson,66,251306
SHINING,Twinkling Watermelon (Original Television Soundtrack) Pt. 3,김한겸,64,210919
Rakit,Rakit,Nadzira Shafa,50,278000
penjaga hati,penjaga hati,Nadhif Basalamah,88,260346
Terminator (feat. Young Jonn),Terminator (feat. Young Jonn),King Promise,72,234024
PARANOIA,PARANOIA,HEARTSTEEL,85,198817
Mengapa,Mengapa,Rony Parulian,70,263800
Take A Chance With Me,Nicole,NIKI,77,303933
Karena Kamu,Meraih Bintang,Geisha,75,234546
The Hanging Tree - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hanging Tree (from The Hunger Games: The Ballad of Songbirds & Snakes),Rachel Zegler,71,143988
Tapi Tahukah Kamu?,Tapi Tahukah Kamu?,Dygta,77,251600
Gloria,Gloria,The Lantis,46,324000
Mencintaimu,Mencintaimu,Sal Priadi,73,274041
Walking Back Home,Walking Back Home,FUR,67,136666
Cheap Cologne,Cheap Cologne,GRAHAM,72,131600
Drama,Drama - The 4th Mini Album,aespa,87,214973
Your Number,Your Number,Ayo Jay,71,204081
Yohana Kastaneda Nona Halong,Yohana Kastaneda Nona Halong,Memi,40,271400
Perfect Night,Perfect Night,LE SSERAFIM,90,159080
Di Tepian Rindu,Di Tepian Rindu,Davisiumbing,44,221389
Rasakan Abadi,Rasakan Abadi,Brodin,54,352060
Someday,CASTAWAY DIVA OST SEO MOK HA (PARK EUN BIN) Vol.1,Park Eunbin,64,232280
Chill Kill,Chill Kill - The 3rd Album,Red Velvet,75,214800
Miss You,Miss You,BANG YEDAM,61,186333
Patience,Beautiful World,Take That,46,202066
Lonely Holiday,Lonely Holiday,Alien Child,56,240000
U-Uh...,U-Uh...,TBA,48,207803
Wide Awake,Teenage Dream: The Complete Confection,Katy Perry,72,220933
Wide Awake - Sped Up,Wide Awake (Sped Up),13Aurora,46,201850
Hate You,GOLDEN,Jung Kook,88,154236
Bodoh,Bodoh,Anggis Devaki,61,248700
Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),JID,87,229938
Yes or No,GOLDEN,Jung Kook,89,147557
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,91,180381
DJ Aku Lagi Bete Beb Aku Lagi Sensi,DJ Tiwas Tak Gondeli,DJ Arya Fvnky,45,241208
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,92,244684
Rindu Lukisan,Rindu Lukisan,caldera,56,208112
Satu Peluang,Satu Peluang,Andi Bernadee,45,198750
Dialog Hati,Dialog Hati,Nadzira Shafa,45,267272
DJ KU TAK PERNAH MERASA KESEPIAN,DJ KU TAK PERNAH MERASA KESEPIAN,Sarip Rmx,51,278569
The Night We Met,Strange Trails,Lord Huron,82,208211
Dj Teruslah Melangkah Melupakan Dirinya - Karena Kamu,Dj Teruslah Melangkah Melupakan Dirinya - Karena Kamu,Farhan Malik,51,254616
AGASSY,AGASSY,SOOJIN,71,165426
